activity_id subject_id activity_types
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
TRUE TRUE WALKING
